"Tanggal","Hari","Nama Produk","Stok","Terjual"
"24/10/2025","Jumat","SMALL RAWIT","92","46"
"24/10/2025","Jumat","SMALL PINK","54","17"
"24/10/2025","Jumat","SMALL FREE MAN","89","10"
"24/10/2025","Jumat","SMALL YELLOW","92","62"
"24/10/2025","Jumat","MEDIUM ORI","34","24"
"24/10/2025","Jumat","MEDIUM BAKAR","51","21"
"24/10/2025","Jumat","MEDIUM RAWIT","70","43"
"24/10/2025","Jumat","MEDIUM PINK","93","52"
"24/10/2025","Jumat","MEDIUM FREE MAN","50","35"
"24/10/2025","Jumat","MEDIUM YELLOW","77","43"
"24/10/2025","Jumat","JUMBO ORI","64","45"
"24/10/2025","Jumat","JUMBO RAWIT","83","48"
"24/10/2025","Jumat","JUMBO PINK","53","19"
"24/10/2025","Jumat","JUMBO BAKAR","66","41"
"24/10/2025","Jumat","JUMBO FREE MAN","74","22"
"24/10/2025","Jumat","JUMBO YELLOW","80","31"
"24/10/2025","Jumat","RAKSASA ORI","88","37"
"24/10/2025","Jumat","RAKSASA BAKAR","85","56"
"24/10/2025","Jumat","RAKSASA RAWIT","82","25"
"24/10/2025","Jumat","RAKSASA PINK","41","12"
"24/10/2025","Jumat","RAKSASA FREE MAN","38","2"
"24/10/2025","Jumat","RAKSASA YELLOW","109","40"
"24/10/2025","Jumat","SUPER JUMBO ORI","38","12"
"24/10/2025","Jumat","SUPER JUMBO BAKAR","120","71"
"24/10/2025","Jumat","SUPER JUMBO RAWIT","112","64"
"24/10/2025","Jumat","SUPER JUMBO PINK","49","26"
"24/10/2025","Jumat","SUPER JUMBO FREE MAN","43","29"
"24/10/2025","Jumat","SUPER JUMBO YELLOW","97","54"
"24/10/2025","Jumat","GHOSTING","37","16"
"24/10/2025","Jumat","GHOSTING FIRE SMALL","33","5"
"24/10/2025","Jumat","GHOSTING FIRE BIG","52","15"
"24/10/2025","Jumat","GHOSTING GREEN","112","58"
"24/10/2025","Jumat","MOZARELLA","71","3"
"24/10/2025","Jumat","JAHAT ORI","93","30"
"24/10/2025","Jumat","JAHAT BAKAR","51","34"
"24/10/2025","Jumat","SMALL SADIS","80","35"
"24/10/2025","Jumat","MEDIUM SADIS","44","24"
"24/10/2025","Jumat","JUMBO SADIS","73","45"
"24/10/2025","Jumat","SUPER JUMBO SADIS","42","18"
"24/10/2025","Jumat","RAKSASA SADIS","56","26"
"24/10/2025","Jumat","MEGA SADIS","71","29"
"24/10/2025","Jumat","MEGA ORI","115","41"
"24/10/2025","Jumat","Dage SACU varian","45","30"
"24/10/2025","Jumat","Dage SACU Ori","73","41"
"24/10/2025","Jumat","Mendoan SACU Ori","50","49"
"24/10/2025","Jumat","Mendoan SACU Varian","32","10"
"24/10/2025","Jumat","Mendoan Sacu Bakar","78","33"
"24/10/2025","Jumat","FREE MAN BIG","52","11"
"24/10/2025","Jumat","SACU JUMBO","114","71"
"24/10/2025","Jumat","SACU JUMBO SADIS","103","71"
"25/10/2025","Sabtu","GETUK ORI 1 KG","34","21"
"25/10/2025","Sabtu","GETUK ORIGINAL 1/2KG","84","29"
"25/10/2025","Sabtu","GETUK ORIGINAL 1/4KG","118","76"
"25/10/2025","Sabtu","GETUK RASA/MIX 1 KG","41","39"
"25/10/2025","Sabtu","GETUK RASA/MIX 1/2KG","48","32"
"25/10/2025","Sabtu","GETUK RASA/MIX 1/4KG","43","29"
"25/10/2025","Sabtu","GETUK RASA DURIAN 1KG","109","70"
"25/10/2025","Sabtu","GETUK RASA DURIAN 1/2KG","88","86"
"25/10/2025","Sabtu","GETUK RASA DURIAN 1/4KG","82","69"
"25/10/2025","Sabtu","GETUK BASAH 1/2KG","84","27"
"25/10/2025","Sabtu","GETUK BASAH 1/4KG","46","3"
"25/10/2025","Sabtu","SMALL ORI","116","78"
"25/10/2025","Sabtu","SMALL RAWIT","64","28"
"25/10/2025","Sabtu","SMALL PINK","51","26"
"25/10/2025","Sabtu","SMALL FREE MAN","110","0"
"25/10/2025","Sabtu","SMALL YELLOW","48","16"
"25/10/2025","Sabtu","MEDIUM ORI","103","98"
"25/10/2025","Sabtu","MEDIUM BAKAR","45","15"
"25/10/2025","Sabtu","MEDIUM RAWIT","86","38"
"25/10/2025","Sabtu","MEDIUM PINK","64","44"
"25/10/2025","Sabtu","MEDIUM FREE MAN","117","74"
"25/10/2025","Sabtu","MEDIUM YELLOW","112","78"
"25/10/2025","Sabtu","JUMBO ORI","69","57"
"25/10/2025","Sabtu","JUMBO RAWIT","91","35"
"25/10/2025","Sabtu","JUMBO PINK","41","19"
"25/10/2025","Sabtu","JUMBO BAKAR","76","50"
"25/10/2025","Sabtu","JUMBO FREE MAN","49","33"
"25/10/2025","Sabtu","JUMBO YELLOW","118","63"
"25/10/2025","Sabtu","RAKSASA ORI","60","33"
"25/10/2025","Sabtu","RAKSASA BAKAR","71","32"
"25/10/2025","Sabtu","RAKSASA RAWIT","86","29"
"25/10/2025","Sabtu","RAKSASA PINK","69","34"
"25/10/2025","Sabtu","RAKSASA FREE MAN","95","1"
"25/10/2025","Sabtu","RAKSASA YELLOW","109","36"
"25/10/2025","Sabtu","SUPER JUMBO ORI","74","35"
"25/10/2025","Sabtu","SUPER JUMBO BAKAR","51","35"
"25/10/2025","Sabtu","SUPER JUMBO RAWIT","80","54"
"25/10/2025","Sabtu","SUPER JUMBO PINK","42","17"
"25/10/2025","Sabtu","SUPER JUMBO FREE MAN","107","49"
"25/10/2025","Sabtu","SUPER JUMBO YELLOW","32","11"
"25/10/2025","Sabtu","GHOSTING","93","45"
"25/10/2025","Sabtu","GHOSTING FIRE SMALL","99","90"
"25/10/2025","Sabtu","GHOSTING FIRE BIG","44","27"
"25/10/2025","Sabtu","GHOSTING GREEN","84","47"
"25/10/2025","Sabtu","MOZARELLA","85","61"
"25/10/2025","Sabtu","JAHAT ORI","47","19"
"25/10/2025","Sabtu","JAHAT BAKAR","96","45"
"25/10/2025","Sabtu","SMALL SADIS","42","29"
"25/10/2025","Sabtu","MEDIUM SADIS","96","37"
"25/10/2025","Sabtu","JUMBO SADIS","93","51"
"25/10/2025","Sabtu","SUPER JUMBO SADIS","65","34"
"25/10/2025","Sabtu","RAKSASA SADIS","88","36"
"25/10/2025","Sabtu","MEGA SADIS","41","17"
"25/10/2025","Sabtu","MEGA ORI","38","15"
"25/10/2025","Sabtu","Dage SACU varian","47","31"
"25/10/2025","Sabtu","Dage SACU Ori","85","32"
"25/10/2025","Sabtu","Mendoan SACU Ori","104","100"
"25/10/2025","Sabtu","Mendoan SACU Varian","59","36"
"25/10/2025","Sabtu","Mendoan Sacu Bakar","118","64"
"25/10/2025","Sabtu","FREE MAN BIG","114","27"
"25/10/2025","Sabtu","SACU JUMBO","53","37"
"25/10/2025","Sabtu","SACU JUMBO SADIS","98","63"
"26/10/2025","Minggu","GETUK ORI 1 KG","109","68"
"26/10/2025","Minggu","GETUK ORIGINAL 1/2KG","51","19"
"26/10/2025","Minggu","GETUK ORIGINAL 1/4KG","64","27"
"26/10/2025","Minggu","GETUK RASA/MIX 1 KG","33","24"
"26/10/2025","Minggu","GETUK RASA/MIX 1/2KG","75","42"
"26/10/2025","Minggu","GETUK RASA/MIX 1/4KG","85","48"
"26/10/2025","Minggu","GETUK RASA DURIAN 1KG","68","34"
"26/10/2025","Minggu","GETUK RASA DURIAN 1/2KG","53","38"
"26/10/2025","Minggu","GETUK RASA DURIAN 1/4KG","119","91"
"26/10/2025","Minggu","GETUK BASAH 1/2KG","83","40"
"26/10/2025","Minggu","GETUK BASAH 1/4KG","80","22"
"26/10/2025","Minggu","SMALL ORI","110","101"
"26/10/2025","Minggu","SMALL RAWIT","50","24"
"26/10/2025","Minggu","SMALL PINK","112","61"
"26/10/2025","Minggu","SMALL FREE MAN","87","6"
"26/10/2025","Minggu","SMALL YELLOW","107","44"
"26/10/2025","Minggu","MEDIUM ORI","93","83"
"26/10/2025","Minggu","MEDIUM BAKAR","83","47"
"26/10/2025","Minggu","MEDIUM RAWIT","33","22"
"26/10/2025","Minggu","MEDIUM PINK","82","51"
"26/10/2025","Minggu","MEDIUM FREE MAN","42","22"
"26/10/2025","Minggu","MEDIUM YELLOW","55","18"
"26/10/2025","Minggu","JUMBO ORI","102","70"
"26/10/2025","Minggu","JUMBO RAWIT","89","53"
"26/10/2025","Minggu","JUMBO PINK","43","19"
"26/10/2025","Minggu","JUMBO BAKAR","108","46"
"26/10/2025","Minggu","JUMBO FREE MAN","34","16"
"26/10/2025","Minggu","JUMBO YELLOW","88","48"
"26/10/2025","Minggu","RAKSASA ORI","38","18"
"26/10/2025","Minggu","RAKSASA BAKAR","95","32"
"26/10/2025","Minggu","RAKSASA RAWIT","53","31"
"26/10/2025","Minggu","RAKSASA PINK","88","48"
"26/10/2025","Minggu","RAKSASA FREE MAN","89","26"
"26/10/2025","Minggu","RAKSASA YELLOW","62","22"
"26/10/2025","Minggu","SUPER JUMBO ORI","51","24"
"26/10/2025","Minggu","SUPER JUMBO BAKAR","69","22"
"26/10/2025","Minggu","SUPER JUMBO RAWIT","100","54"
"26/10/2025","Minggu","SUPER JUMBO PINK","117","55"
"26/10/2025","Minggu","SUPER JUMBO FREE MAN","80","47"
"26/10/2025","Minggu","SUPER JUMBO YELLOW","101","53"
"26/10/2025","Minggu","GHOSTING","112","55"
"26/10/2025","Minggu","GHOSTING FIRE SMALL","109","76"
"26/10/2025","Minggu","GHOSTING FIRE BIG","39","23"
"26/10/2025","Minggu","GHOSTING GREEN","61","18"
"26/10/2025","Minggu","MOZARELLA","102","60"
"26/10/2025","Minggu","JAHAT ORI","83","25"
"26/10/2025","Minggu","JAHAT BAKAR","64","27"
"26/10/2025","Minggu","SMALL SADIS","77","46"
"26/10/2025","Minggu","MEDIUM SADIS","113","74"
"26/10/2025","Minggu","JUMBO SADIS","92","53"
"26/10/2025","Minggu","SUPER JUMBO SADIS","119","62"
"26/10/2025","Minggu","RAKSASA SADIS","96","60"
"26/10/2025","Minggu","MEGA SADIS","86","58"
"26/10/2025","Minggu","MEGA ORI","66","38"
"26/10/2025","Minggu","Dage SACU varian","36","11"
"26/10/2025","Minggu","Dage SACU Ori","107","63"
"26/10/2025","Minggu","Mendoan SACU Ori","66","49"
"26/10/2025","Minggu","Mendoan SACU Varian","120","41"
"26/10/2025","Minggu","Mendoan Sacu Bakar","50","26"
"26/10/2025","Minggu","FREE MAN BIG","76","15"
"26/10/2025","Minggu","SACU JUMBO","63","35"
"26/10/2025","Minggu","SACU JUMBO SADIS","50","29"
"27/10/2025","Senin","GETUK ORI 1 KG","35","27"
"27/10/2025","Senin","GETUK ORIGINAL 1/2KG","94","28"
"27/10/2025","Senin","GETUK ORIGINAL 1/4KG","94","47"
"27/10/2025","Senin","GETUK RASA/MIX 1 KG","113","102"
"27/10/2025","Senin","GETUK RASA/MIX 1/2KG","57","36"
"27/10/2025","Senin","GETUK RASA/MIX 1/4KG","62","41"
"27/10/2025","Senin","GETUK RASA DURIAN 1KG","33","1"
"27/10/2025","Senin","GETUK RASA DURIAN 1/2KG","56","8"
"27/10/2025","Senin","GETUK RASA DURIAN 1/4KG","32","2"
"27/10/2025","Senin","GETUK BASAH 1/2KG","116","79"
"27/10/2025","Senin","GETUK BASAH 1/4KG","49","14"
"27/10/2025","Senin","SMALL ORI","116","110"
"27/10/2025","Senin","SMALL RAWIT","93","33"
"27/10/2025","Senin","SMALL PINK","56","36"
"27/10/2025","Senin","SMALL FREE MAN","85","24"
"27/10/2025","Senin","SMALL YELLOW","55","38"
"27/10/2025","Senin","MEDIUM ORI","109","73"
"27/10/2025","Senin","MEDIUM BAKAR","118","50"
"27/10/2025","Senin","MEDIUM RAWIT","96","47"
"27/10/2025","Senin","MEDIUM PINK","36","10"
"27/10/2025","Senin","MEDIUM FREE MAN","62","23"
"27/10/2025","Senin","MEDIUM YELLOW","93","34"
"27/10/2025","Senin","JUMBO ORI","44","26"
"27/10/2025","Senin","JUMBO RAWIT","43","18"
"27/10/2025","Senin","JUMBO PINK","54","36"
"27/10/2025","Senin","JUMBO BAKAR","106","48"
"27/10/2025","Senin","JUMBO FREE MAN","102","65"
"27/10/2025","Senin","JUMBO YELLOW","93","49"
"27/10/2025","Senin","RAKSASA ORI","90","33"
"27/10/2025","Senin","RAKSASA BAKAR","87","42"
"27/10/2025","Senin","RAKSASA RAWIT","95","65"
"27/10/2025","Senin","RAKSASA PINK","60","42"
"27/10/2025","Senin","RAKSASA FREE MAN","35","4"
"27/10/2025","Senin","RAKSASA YELLOW","33","15"
"27/10/2025","Senin","SUPER JUMBO ORI","39","25"
"27/10/2025","Senin","SUPER JUMBO BAKAR","119","80"
"27/10/2025","Senin","SUPER JUMBO RAWIT","61","33"
"27/10/2025","Senin","SUPER JUMBO PINK","43","15"
"27/10/2025","Senin","SUPER JUMBO FREE MAN","41","15"
"27/10/2025","Senin","SUPER JUMBO YELLOW","115","34"
"27/10/2025","Senin","GHOSTING","59","21"
"27/10/2025","Senin","GHOSTING FIRE SMALL","95","1"
"27/10/2025","Senin","GHOSTING FIRE BIG","59","1"
"27/10/2025","Senin","GHOSTING GREEN","42","29"
"27/10/2025","Senin","MOZARELLA","97","6"
"27/10/2025","Senin","JAHAT ORI","91","47"
"27/10/2025","Senin","JAHAT BAKAR","53","35"
"27/10/2025","Senin","SMALL SADIS","109","63"
"27/10/2025","Senin","MEDIUM SADIS","73","28"
"27/10/2025","Senin","JUMBO SADIS","115","55"
"27/10/2025","Senin","SUPER JUMBO SADIS","49","16"
"27/10/2025","Senin","RAKSASA SADIS","102","51"
"27/10/2025","Senin","MEGA SADIS","114","53"
"27/10/2025","Senin","MEGA ORI","52","22"
"27/10/2025","Senin","Dage SACU varian","107","41"
"27/10/2025","Senin","Dage SACU Ori","54","17"
"27/10/2025","Senin","Mendoan SACU Ori","60","38"
"27/10/2025","Senin","Mendoan SACU Varian","38","23"
"27/10/2025","Senin","Mendoan Sacu Bakar","117","65"
"27/10/2025","Senin","FREE MAN BIG","43","9"
"27/10/2025","Senin","SACU JUMBO","120","75"
"27/10/2025","Senin","SACU JUMBO SADIS","61","25"
"28/10/2025","Selasa","GETUK ORI 1 KG","71","69"
"28/10/2025","Selasa","GETUK ORIGINAL 1/2KG","82","49"
"28/10/2025","Selasa","GETUK ORIGINAL 1/4KG","112","53"
"28/10/2025","Selasa","GETUK RASA/MIX 1 KG","73","49"
"28/10/2025","Selasa","GETUK RASA/MIX 1/2KG","108","66"
"28/10/2025","Selasa","GETUK RASA/MIX 1/4KG","47","22"
"28/10/2025","Selasa","GETUK RASA DURIAN 1KG","54","19"
"28/10/2025","Selasa","GETUK RASA DURIAN 1/2KG","63","1"
"28/10/2025","Selasa","GETUK RASA DURIAN 1/4KG","42","10"
"28/10/2025","Selasa","GETUK BASAH 1/2KG","92","33"
"28/10/2025","Selasa","GETUK BASAH 1/4KG","76","5"
"28/10/2025","Selasa","SMALL ORI","106","103"
"28/10/2025","Selasa","SMALL RAWIT","55","16"
"28/10/2025","Selasa","SMALL PINK","44","17"
"28/10/2025","Selasa","SMALL FREE MAN","61","4"
"28/10/2025","Selasa","SMALL YELLOW","86","53"
"28/10/2025","Selasa","MEDIUM ORI","45","32"
"28/10/2025","Selasa","MEDIUM BAKAR","74","38"
"28/10/2025","Selasa","MEDIUM RAWIT","83","34"
"28/10/2025","Selasa","MEDIUM PINK","89","26"
"28/10/2025","Selasa","MEDIUM FREE MAN","99","54"
"28/10/2025","Selasa","MEDIUM YELLOW","70","22"
"28/10/2025","Selasa","JUMBO ORI","99","64"
"28/10/2025","Selasa","JUMBO RAWIT","98","39"
"28/10/2025","Selasa","JUMBO PINK","78","46"
"28/10/2025","Selasa","JUMBO BAKAR","100","60"
"28/10/2025","Selasa","JUMBO FREE MAN","112","41"
"28/10/2025","Selasa","JUMBO YELLOW","34","17"
"28/10/2025","Selasa","RAKSASA ORI","80","52"
"28/10/2025","Selasa","RAKSASA BAKAR","111","53"
"28/10/2025","Selasa","RAKSASA RAWIT","75","45"
"28/10/2025","Selasa","RAKSASA PINK","115","55"
"28/10/2025","Selasa","RAKSASA FREE MAN","42","6"
"28/10/2025","Selasa","RAKSASA YELLOW","56","39"
"28/10/2025","Selasa","SUPER JUMBO ORI","31","11"
"28/10/2025","Selasa","SUPER JUMBO BAKAR","41","17"
"28/10/2025","Selasa","SUPER JUMBO RAWIT","57","22"
"28/10/2025","Selasa","SUPER JUMBO PINK","56","29"
"28/10/2025","Selasa","SUPER JUMBO FREE MAN","83","51"
"28/10/2025","Selasa","SUPER JUMBO YELLOW","64","28"
"28/10/2025","Selasa","GHOSTING","40","23"
"28/10/2025","Selasa","GHOSTING FIRE SMALL","86","34"
"28/10/2025","Selasa","GHOSTING FIRE BIG","100","14"
"28/10/2025","Selasa","GHOSTING GREEN","74","45"
"28/10/2025","Selasa","MOZARELLA","71","25"
"28/10/2025","Selasa","JAHAT ORI","46","24"
"28/10/2025","Selasa","JAHAT BAKAR","53","36"
"28/10/2025","Selasa","SMALL SADIS","95","41"
"28/10/2025","Selasa","MEDIUM SADIS","114","57"
"28/10/2025","Selasa","JUMBO SADIS","30","11"
"28/10/2025","Selasa","SUPER JUMBO SADIS","115","68"
"28/10/2025","Selasa","RAKSASA SADIS","56","20"
"28/10/2025","Selasa","MEGA SADIS","73","43"
"28/10/2025","Selasa","MEGA ORI","87","35"
"28/10/2025","Selasa","Dage SACU varian","86","34"
"28/10/2025","Selasa","Dage SACU Ori","89","49"
"28/10/2025","Selasa","Mendoan SACU Ori","34","24"
"28/10/2025","Selasa","Mendoan SACU Varian","41","18"
"28/10/2025","Selasa","Mendoan Sacu Bakar","68","24"
"28/10/2025","Selasa","FREE MAN BIG","115","25"
"28/10/2025","Selasa","SACU JUMBO","97","51"
"28/10/2025","Selasa","SACU JUMBO SADIS","76","23"
"29/10/2025","Rabu","GETUK ORI 1 KG","68","58"
"29/10/2025","Rabu","GETUK ORIGINAL 1/2KG","118","49"
"29/10/2025","Rabu","GETUK ORIGINAL 1/4KG","32","21"
"29/10/2025","Rabu","GETUK RASA/MIX 1 KG","75","45"
"29/10/2025","Rabu","GETUK RASA/MIX 1/2KG","55","36"
"29/10/2025","Rabu","GETUK RASA/MIX 1/4KG","108","54"
"29/10/2025","Rabu","GETUK RASA DURIAN 1KG","52","1"
"29/10/2025","Rabu","GETUK RASA DURIAN 1/2KG","57","3"
"29/10/2025","Rabu","GETUK RASA DURIAN 1/4KG","32","7"
"29/10/2025","Rabu","GETUK BASAH 1/2KG","93","37"
"29/10/2025","Rabu","GETUK BASAH 1/4KG","60","0"
"29/10/2025","Rabu","SMALL ORI","46","42"
"29/10/2025","Rabu","SMALL RAWIT","93","32"
"29/10/2025","Rabu","SMALL PINK","45","27"
"29/10/2025","Rabu","SMALL FREE MAN","61","13"
"29/10/2025","Rabu","SMALL YELLOW","50","25"
"29/10/2025","Rabu","MEDIUM ORI","55","39"
"29/10/2025","Rabu","MEDIUM BAKAR","86","56"
"29/10/2025","Rabu","MEDIUM RAWIT","109","45"
"29/10/2025","Rabu","MEDIUM PINK","50","21"
"29/10/2025","Rabu","MEDIUM FREE MAN","32","20"
"29/10/2025","Rabu","MEDIUM YELLOW","117","79"
"29/10/2025","Rabu","JUMBO ORI","83","69"
"29/10/2025","Rabu","JUMBO RAWIT","49","18"
"29/10/2025","Rabu","JUMBO PINK","68","47"
"29/10/2025","Rabu","JUMBO BAKAR","114","77"
"29/10/2025","Rabu","JUMBO FREE MAN","52","25"
"29/10/2025","Rabu","JUMBO YELLOW","75","44"
"29/10/2025","Rabu","RAKSASA ORI","116","59"
"29/10/2025","Rabu","RAKSASA BAKAR","65","42"
"29/10/2025","Rabu","RAKSASA RAWIT","98","63"
"29/10/2025","Rabu","RAKSASA PINK","45","25"
"29/10/2025","Rabu","RAKSASA FREE MAN","104","27"
"29/10/2025","Rabu","RAKSASA YELLOW","89","34"
"29/10/2025","Rabu","SUPER JUMBO ORI","95","60"
"29/10/2025","Rabu","SUPER JUMBO BAKAR","107","49"
"29/10/2025","Rabu","SUPER JUMBO RAWIT","60","22"
"29/10/2025","Rabu","SUPER JUMBO PINK","52","31"
"29/10/2025","Rabu","SUPER JUMBO FREE MAN","56","16"
"29/10/2025","Rabu","SUPER JUMBO YELLOW","109","71"
"29/10/2025","Rabu","GHOSTING","44","29"
"29/10/2025","Rabu","GHOSTING FIRE SMALL","112","1"
"29/10/2025","Rabu","GHOSTING FIRE BIG","94","22"
"29/10/2025","Rabu","GHOSTING GREEN","92","33"
"29/10/2025","Rabu","MOZARELLA","100","20"
"29/10/2025","Rabu","JAHAT ORI","110","40"
"29/10/2025","Rabu","JAHAT BAKAR","105","68"
"29/10/2025","Rabu","SMALL SADIS","74","29"
"29/10/2025","Rabu","MEDIUM SADIS","91","30"
"29/10/2025","Rabu","JUMBO SADIS","106","60"
"29/10/2025","Rabu","SUPER JUMBO SADIS","33","11"
"29/10/2025","Rabu","RAKSASA SADIS","30","18"
"29/10/2025","Rabu","MEGA SADIS","34","13"
"29/10/2025","Rabu","MEGA ORI","36","22"
"29/10/2025","Rabu","Dage SACU varian","72","33"
"29/10/2025","Rabu","Dage SACU Ori","74","38"
"29/10/2025","Rabu","Mendoan SACU Ori","31","25"
"29/10/2025","Rabu","Mendoan SACU Varian","62","25"
"29/10/2025","Rabu","Mendoan Sacu Bakar","109","66"
"29/10/2025","Rabu","FREE MAN BIG","78","0"
"29/10/2025","Rabu","SACU JUMBO","39","13"
"29/10/2025","Rabu","SACU JUMBO SADIS","41","20"
"30/10/2025","Kamis","GETUK ORI 1 KG","79","49"
"30/10/2025","Kamis","GETUK ORIGINAL 1/2KG","68","47"
"30/10/2025","Kamis","GETUK ORIGINAL 1/4KG","88","61"
"30/10/2025","Kamis","GETUK RASA/MIX 1 KG","107","84"
"30/10/2025","Kamis","GETUK RASA/MIX 1/2KG","98","60"
"30/10/2025","Kamis","GETUK RASA/MIX 1/4KG","77","30"
"30/10/2025","Kamis","GETUK RASA DURIAN 1KG","51","19"
"30/10/2025","Kamis","GETUK RASA DURIAN 1/2KG","57","9"
"30/10/2025","Kamis","GETUK RASA DURIAN 1/4KG","51","13"
"30/10/2025","Kamis","GETUK BASAH 1/2KG","65","42"
"30/10/2025","Kamis","GETUK BASAH 1/4KG","45","8"
"30/10/2025","Kamis","SMALL ORI","42","28"
"30/10/2025","Kamis","SMALL RAWIT","82","39"
"30/10/2025","Kamis","SMALL PINK","62","31"
"30/10/2025","Kamis","SMALL FREE MAN","113","16"
"30/10/2025","Kamis","SMALL YELLOW","53","18"
"30/10/2025","Kamis","MEDIUM ORI","115","85"
"30/10/2025","Kamis","MEDIUM BAKAR","102","43"
"30/10/2025","Kamis","MEDIUM RAWIT","41","14"
"30/10/2025","Kamis","MEDIUM PINK","86","29"
"30/10/2025","Kamis","MEDIUM FREE MAN","95","47"
"30/10/2025","Kamis","MEDIUM YELLOW","104","34"
"30/10/2025","Kamis","JUMBO ORI","51","44"
"30/10/2025","Kamis","JUMBO RAWIT","100","33"
"30/10/2025","Kamis","JUMBO PINK","39","21"
"30/10/2025","Kamis","JUMBO BAKAR","46","31"
"30/10/2025","Kamis","JUMBO FREE MAN","98","60"
"30/10/2025","Kamis","JUMBO YELLOW","112","38"
"30/10/2025","Kamis","RAKSASA ORI","48","16"
"30/10/2025","Kamis","RAKSASA BAKAR","79","35"
"30/10/2025","Kamis","RAKSASA RAWIT","85","39"
"30/10/2025","Kamis","RAKSASA PINK","67","23"
"30/10/2025","Kamis","RAKSASA FREE MAN","46","7"
"30/10/2025","Kamis","RAKSASA YELLOW","96","35"
"30/10/2025","Kamis","SUPER JUMBO ORI","30","10"
"30/10/2025","Kamis","SUPER JUMBO BAKAR","108","49"
"30/10/2025","Kamis","SUPER JUMBO RAWIT","87","37"
"30/10/2025","Kamis","SUPER JUMBO PINK","80","34"
"30/10/2025","Kamis","SUPER JUMBO FREE MAN","70","34"
"30/10/2025","Kamis","SUPER JUMBO YELLOW","49","34"
"30/10/2025","Kamis","GHOSTING","88","35"
"30/10/2025","Kamis","GHOSTING FIRE SMALL","96","21"
"30/10/2025","Kamis","GHOSTING FIRE BIG","110","30"
"30/10/2025","Kamis","GHOSTING GREEN","120","62"
"30/10/2025","Kamis","MOZARELLA","118","2"
"30/10/2025","Kamis","JAHAT ORI","80","35"
"30/10/2025","Kamis","JAHAT BAKAR","83","44"
"30/10/2025","Kamis","SMALL SADIS","88","56"
"30/10/2025","Kamis","MEDIUM SADIS","109","47"
"30/10/2025","Kamis","JUMBO SADIS","87","52"
"30/10/2025","Kamis","SUPER JUMBO SADIS","44","21"
"30/10/2025","Kamis","RAKSASA SADIS","85","40"
"30/10/2025","Kamis","MEGA SADIS","71","27"
"30/10/2025","Kamis","MEGA ORI","37","24"
"30/10/2025","Kamis","Dage SACU varian","110","59"
"30/10/2025","Kamis","Dage SACU Ori","57","28"
"30/10/2025","Kamis","Mendoan SACU Ori","64","63"
"30/10/2025","Kamis","Mendoan SACU Varian","76","53"
"30/10/2025","Kamis","Mendoan Sacu Bakar","69","35"
"30/10/2025","Kamis","FREE MAN BIG","48","8"
"30/10/2025","Kamis","SACU JUMBO","48","29"
"30/10/2025","Kamis","SACU JUMBO SADIS","100","47"
"31/10/2025","Jumat","GETUK ORI 1 KG","67","43"
"31/10/2025","Jumat","GETUK ORIGINAL 1/2KG","37","16"
"31/10/2025","Jumat","GETUK ORIGINAL 1/4KG","36","17"
"31/10/2025","Jumat","GETUK RASA/MIX 1 KG","106","105"
"31/10/2025","Jumat","GETUK RASA/MIX 1/2KG","99","29"
"31/10/2025","Jumat","GETUK RASA/MIX 1/4KG","40","27"
"31/10/2025","Jumat","GETUK RASA DURIAN 1KG","110","8"
"31/10/2025","Jumat","GETUK RASA DURIAN 1/2KG","39","6"
"31/10/2025","Jumat","GETUK RASA DURIAN 1/4KG","114","12"
"31/10/2025","Jumat","GETUK BASAH 1/2KG","56","18"
"31/10/2025","Jumat","GETUK BASAH 1/4KG","91","4"
"31/10/2025","Jumat","SMALL ORI","76","69"
"31/10/2025","Jumat","SMALL RAWIT","98","39"
"31/10/2025","Jumat","SMALL PINK","75","26"
"31/10/2025","Jumat","SMALL FREE MAN","46","8"
"31/10/2025","Jumat","SMALL YELLOW","47","30"
"31/10/2025","Jumat","MEDIUM ORI","52","42"
"31/10/2025","Jumat","MEDIUM BAKAR","80","32"
"31/10/2025","Jumat","MEDIUM RAWIT","48","20"
"31/10/2025","Jumat","MEDIUM PINK","60","42"
"31/10/2025","Jumat","MEDIUM FREE MAN","44","28"
"31/10/2025","Jumat","MEDIUM YELLOW","119","71"
"31/10/2025","Jumat","JUMBO ORI","31","20"
"31/10/2025","Jumat","JUMBO RAWIT","33","22"
"31/10/2025","Jumat","JUMBO PINK","115","76"
"31/10/2025","Jumat","JUMBO BAKAR","71","42"
"31/10/2025","Jumat","JUMBO FREE MAN","66","30"
"31/10/2025","Jumat","JUMBO YELLOW","32","9"
"31/10/2025","Jumat","RAKSASA ORI","42","22"
"31/10/2025","Jumat","RAKSASA BAKAR","56","22"
"31/10/2025","Jumat","RAKSASA RAWIT","89","39"
"31/10/2025","Jumat","RAKSASA PINK","46","20"
"31/10/2025","Jumat","RAKSASA FREE MAN","119","9"
"31/10/2025","Jumat","RAKSASA YELLOW","40","24"
"31/10/2025","Jumat","SUPER JUMBO ORI","41","27"
"31/10/2025","Jumat","SUPER JUMBO BAKAR","63","43"
"31/10/2025","Jumat","SUPER JUMBO RAWIT","53","19"
"31/10/2025","Jumat","SUPER JUMBO PINK","118","64"
"31/10/2025","Jumat","SUPER JUMBO FREE MAN","46","27"
"31/10/2025","Jumat","SUPER JUMBO YELLOW","111","41"
